Player,Team,Draft Year,Yr1 Pos Rk,Yr1 Pos PPG Rk,Yr1 Pos Tm Rk,Yr1 G,Yr1 Opps,Yr1 YTMA/G,Yr1 PPR PPG,Yr1 Rec Dom,Yr1 PPR Pts,Yr1 Snap%,Yr1 Tgts,Yr1 Tgt%,Yr1 Rush Att,Yr1 Tm Rush Att%,Yr1 Tm Opp%,Yr1 EP,Yr1 Rush EP,Yr1 Rec EP,Yr1 Yds,Yr1 Tds,Yr1 Recs,Yr1 Rec Yds,Yr1 YAC,Draft Pick,Draft Year Age,BOA 15%,Total College Touches,Total College Yds,College Yd/G,Total College Dom,College YTMA Dom,Best College YTMA Conf Adj,Best College Adj YTMA,Avg College Adj YTMA,Best College Adj YTMA Over Conf,Avg College Adj YTMA Over Conf,Best College YTMPA,Avg College YTMPA,Best College YTMA,Ave College YTMA,Best College YTMA +/- Conf Avg,Avg College YTMA +/- Conf Avg,College Rush Dom,BMI,Fourty-Time,WaSS,Number of Top 5 Pos Finishes,Number of Top 12 Pos Finishes,Number of Top 24 Pos Finishes,Yr 2 PPG
Darwin Thompson,KC,2019,88,96,5,11,48,0.26,2.92,0.009180188,32.1,0.14,10,0.03,38,0.14,0.07,33.8,20.5,13.4,128,1,9,43,62,214,23,22,176,1395,107.3076923,0.234839632,1.511375948,0.525830396,1.891657638,1.891657638,0.784972973,0.784972973,1.511375948,1.511375948,1.511375948,1.511375948,0.525830396,0.525830396,0.392546911,,,,0,0,0,7.04
Myles Gaskin,MIA,2019,90,79,3,7,48,0.46,4.49,0.012318841,31.4,0.25,12,0.04,36,0.22,0.11,37.3,19.3,18,133,1,7,51,46,234,22,18,1004,5769,110.9423077,0.310516291,1.726660728,0.880631902,2.334177215,1.85763089,1.239124142,0.762577816,2.040506329,1.664323491,2.040506329,1.723803533,0.880631902,0.563929106,0.544064399,30.27293326,4.58,93.17983664,0,0,0,16.82
Qadree Ollison,ATL,2019,93,76,4,6,24,0.15,5.12,0.001488095,30.7,0.13,2,0.01,22,0.14,0.06,27.9,24,3.9,50,4,1,7,3,152,22,18,566,3130,63.87755102,0.234389329,1.406928948,0.544295544,1.514251781,1.024829593,0.526085804,0.311077713,1.42280285,0.92909995,1.42280285,0.940729986,0.544295544,0.06222268,0.449105535,30.08070084,4.58,103.6341598,0,0,0,0.15
Travis Homer,SEA,2019,95,68,4,5,31,0.54,5.60,0.012844037,28,0.25,13,0.09,18,0.12,0.1,28.2,11.1,17.1,114,0,11,56,60,204,21,19,364,2356,90.61538462,0.207820942,1.458281445,0.579774139,1.703883495,1.696898161,0.715717518,0.708732184,1.458281445,1.44819412,1.458281445,1.44819412,0.579774139,0.569686814,0.367282774,28.84023542,4.48,99.79619825,0,0,0,3.644444444
Andrew Beck,DEN,2019,96,115,4,16,14,0.11,1.54,0.065378096,24.6,0.23,12,0.02,1,0,0.01,21.8,0.4,21.1,3,0,9,90,67,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Darrell Henderson,LAR,2019,98,105,3,10,45,0.29,2.24,0.007962126,22.4,0.14,6,0.02,39,0.14,0.07,30.9,21.1,9.8,147,0,4,37,37,70,22,20,494,4303,113.2368421,0.288192285,2.248979592,1.386897116,2.746153846,1.883301888,1.70519272,1.278706294,2.248979592,1.503551361,2.426373626,1.604394712,1.386897116,0.564918201,0.479494493,31.62600486,4.49,102.3547417,0,0,0,8.673333333
Alec Ingold,LV,2019,101,128,4,16,16,0.06,1.13,0.033464218,18.1,0.2,6,0.01,10,0.02,0.02,24,11.2,12.9,17,0,6,44,38,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.96
Wes Hills,DET,2019,105,12,1,1,12,0.36,16.20,0.000237812,16.2,0.36,2,0.05,10,0.56,0.2,14.5,11.7,2.7,21,2,2,1,3,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
D'Ernest Johnson,CLE,2019,108,123,4,13,11,0.12,1.17,0.018431983,15.2,0.06,7,0.02,4,0.01,0.02,12.6,2.7,9.8,21,0,6,71,47,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.4
Kerrith Whyte Jr.,PIT,2019,109,103,4,6,26,0.39,2.35,0.002738892,14.1,0.11,1,0.01,25,0.15,0.08,13.7,12.6,1.1,122,0,1,9,11,222,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Jonathan Hilliman,NYG,2019,113,88,3,3,34,0.51,4.07,0.0002457,12.2,0.52,4,0.04,30,0.41,0.2,19.5,14.7,4.9,91,0,3,1,0,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Khari Blasingame,TEN,2019,123,114,3,6,5,0.16,1.57,0.013547416,9.4,0.19,5,0.03,0,0,0.02,8.8,0,8.8,0,0,4,54,33,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.564285714
Devine Ozigbo,JAC,2019,124,99,3,3,14,0.27,2.67,0.005674809,8,0.15,5,0.04,9,0.19,0.08,10.5,3.8,6.6,27,0,3,23,20,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2.66
Trevon Wesco,NYJ,2019,126,147,5,16,4,0.05,0.43,0.013650886,6.9,0.21,3,0.01,1,0,0,8.2,0.2,8,2,0,2,47,40,121,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.136363636
Tony Brooks-James,PIT,2019,138,134,7,3,8,0.04,0.90,0,2.7,0.07,0,0,8,0.12,0.04,3.3,3.3,0,7,0,0,0,0,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.4
Jakob Johnson,NE,2019,143,150,6,4,2,0.02,0.38,0.001207729,1.5,0.24,2,0.01,0,0,0.01,2.7,0,2.7,0,0,1,5,1,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.166666667
Damien Harris,NE,2019,146,122,5,1,4,0.18,1.20,0,1.2,0.06,0,0,4,0.12,0.05,1.9,1.9,0,12,0,0,0,0,87,22,20,525,3464,64.14814815,0.167010357,1.204799944,0.230036125,1.394136808,1.041850369,0.348005179,0.268097616,1.236961451,0.917738759,1.236961451,0.936464904,0.230036125,-0.070460422,0.321321833,30.9924918,4.57,99.04189621,0,0,0,9.13
Dexter Williams,GB,2019,147,142,4,2,5,0.09,0.55,0,1.1,0.07,0,0,5,0.09,0.04,2.2,2.2,0,11,0,0,0,0,194,22,21,252,1688,58.20689655,0.234154979,1.214208827,0.876041907,1.96065064,0.937542685,0.956224951,0.956224951,1.214208827,0.621367327,1.753857194,0.868611536,0.876041907,-0.00920375,0.426702288,29.56773024,4.57,97.20778702,0,0,0,0.4
